severity,component,kind,token,file,line,yaml_path,context,decision,notes
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,config/nodered/bridge-v2-readonly-plan.json,592,brokers.home.host,"""sourceBroker"": ""192.168.1.20:1883"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,config/nodered/bridge-v2-readonly-plan.json,604,brokers.home.host,"""sourceBroker"": ""192.168.1.20:1883"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/time_range,config/nodered/bridge-v2-readonly-plan.json,675,settings.climate.ai_grace_range.legacy.source.topic,"""sourceTopic"": ""zara/domotics/time_range"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/resolDL2/sensor3,config/nodered/bridge-v2-readonly-plan.json,807,heating.puffer.top_temperature.legacy.source.topic,"""sourceTopic"": ""emon/resolDL2/sensor3"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/shellyACS/tempACS,config/nodered/bridge-v2-readonly-plan.json,819,heating.dhw_puffer.temperature.legacy.source.topic,"""sourceTopic"": ""emon/shellyACS/tempACS"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,config/nodered/bridge-v2-readonly-plan.json,940,brokers.home.host,"""sourceBroker"": ""192.168.1.20:1883"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/cmnd/AI_climate_enabling,config/nodered/bridge-v2-readonly-plan.json,1002,settings.system.ai_enabled.legacy.source.topic,"""topic"": ""casa/clima/cmnd/AI_climate_enabling"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/cmnd/vmc_max_notte,config/nodered/bridge-v2-readonly-plan.json,1008,settings.climate.vmc_max_night.legacy.source.topic,"""topic"": ""casa/clima/cmnd/vmc_max_notte"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/AC/command,config/nodered/bridge-v2-readonly-plan.json,1254,climate.ac_master.mode.legacy.source.topic,"""topic"": ""zara/domotics/AC/command"",",,
HIGH,Gateway / Node-RED,mqtt_topic,/esp8266/brink/fanspeed,config/nodered/bridge-v2-readonly-plan.json,1356,climate.vmc.speed.legacy.source.topic,"""topic"": ""/esp8266/brink/fanspeed"",",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/registry/test_registry_sdk.py,110,lights.living.power.id,"""lights.living.power""",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/registry/test_registry_sdk.py,114,lights.living.power.id,"assert entity.id == ""lights.living.power""",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/test_command_manager_router_integration.py,125,lights.living.power.id,"== ""lights.living.power""",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/test_command_manager_router_integration.py,216,lights.living.power.id,"== ""lights.living.power""",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/test_command_request.py,7,lights.living.power.id,"entity_id=""lights.living.power"",",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/test_command_request.py,11,lights.living.power.id,"assert request.entity_id == ""lights.living.power""",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/test_command_router.py,20,lights.living.power.id,"entity_id=""lights.living.power"",",,
HIGH,Core Engine,mqtt_topic,zara/interface/lights/living/power/cmd,core-engine/tests/test_command_router.py,22,lights.living.power.interface.command_topic,"""zara/interface/lights/living/power/cmd""",,
HIGH,Core Engine,logical_id,lights.living.power,core-engine/tests/test_command_router.py,62,lights.living.power.id,"entity_id=""lights.living.power"",",,
HIGH,Core Engine,mqtt_topic,casa/clima/stato_completo,core-engine/tests/test_mqtt_capture_validation.py,90,climate.ac_master.mode.legacy.confirmation.topic,"""casa/clima/stato_completo"",",,
HIGH,Core Engine,mqtt_topic,casa/clima/stato_completo,core-engine/tests/test_mqtt_capture_validation.py,232,climate.ac_master.mode.legacy.confirmation.topic,"zara/android/domotica/casa/clima/stato_completo {""season"":""SUMMER""}",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/flows.json,82,brokers.home.host,"""name"": ""Production MQTT 192.168.1.20 READ ONLY"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/flows.json,83,brokers.home.host,"""broker"": ""192.168.1.20"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,gateway/flows.json,109,brokers.emon.host,"""name"": ""EmonCMS MQTT 192.168.1.15 READ ONLY"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,gateway/flows.json,110,brokers.emon.host,"""broker"": ""192.168.1.15"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,gateway/flows.json,449,energy.solar.power.legacy.source.topic,"""topic"": ""TeslaPowerwall/solar_instant_power"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,gateway/flows.json,567,energy.battery.soc.legacy.source.topic,"""topic"": ""TeslaPowerwall/SOE"",",,
HIGH,Gateway / Node-RED,mqtt_topic,/esp8266/brink/fanspeed,gateway/flows.json,922,climate.vmc.speed.legacy.source.topic,"""topic"": ""/esp8266/brink/fanspeed"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,gateway/flows.json,1446,climate.ac_master.mode.legacy.confirmation.topic,"""func"": ""const sourceBase = \""zara/android/domotica\"";\nconst targetBase = \""domoticsai/v1/state\"";\nconst rules = {\""env/humLiving\"":{\""target\"":\""climate/living_humidity_pct\"",\""type\"":\""number\"",\""unit\"":\""%\"",\""so...",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/flows/bridge-v2-readonly-disabled.json,24,brokers.home.host,"""broker"": ""192.168.1.20"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stat/vmc_max_notte,gateway/flows/bridge-v2-readonly-disabled.json,174,settings.climate.vmc_max_night.legacy.confirmation.topic,"""name"": ""[climate] casa/clima/stat/vmc_max_notte"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stat/vmc_max_notte,gateway/flows/bridge-v2-readonly-disabled.json,175,settings.climate.vmc_max_night.legacy.confirmation.topic,"""topic"": ""casa/clima/stat/vmc_max_notte"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stat/vmc_max_notte,gateway/flows/bridge-v2-readonly-disabled.json,197,settings.climate.vmc_max_night.legacy.confirmation.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""casa/clima/stat/vmc_max_notte\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/vmc/maxNightSpeed/state\"";\n\nif (typeof msg.to...",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,gateway/flows/bridge-v2-readonly-disabled.json,236,climate.ac_master.mode.legacy.confirmation.topic,"""name"": ""[climate] casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,gateway/flows/bridge-v2-readonly-disabled.json,237,climate.ac_master.mode.legacy.confirmation.topic,"""topic"": ""casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,gateway/flows/bridge-v2-readonly-disabled.json,258,climate.ac_master.mode.legacy.confirmation.topic,"""name"": ""Guard + map → zara/android/domotica/v2/casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,gateway/flows/bridge-v2-readonly-disabled.json,259,climate.ac_master.mode.legacy.confirmation.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""casa/clima/stato_completo\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/casa/clima/stato_completo\"";\n\nif (typeof msg.topi...",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,gateway/flows/bridge-v2-readonly-disabled.json,279,climate.ac_master.mode.legacy.confirmation.topic,"""name"": ""zara/android/domotica/v2/casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/emonth5/humidex,gateway/flows/bridge-v2-readonly-disabled.json,484,env.living.humidex.legacy.source.topic,"""name"": ""[climate] emon/emonth5/humidex"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/emonth5/humidex,gateway/flows/bridge-v2-readonly-disabled.json,485,env.living.humidex.legacy.source.topic,"""topic"": ""emon/emonth5/humidex"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/emonth5/humidex,gateway/flows/bridge-v2-readonly-disabled.json,507,env.living.humidex.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""emon/emonth5/humidex\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/env/humidexLiving\"";\n\nif (typeof msg.topic !== 'string...",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,gateway/flows/bridge-v2-readonly-disabled.json,607,brokers.emon.host,"""name"": ""Source 192.168.1.15:1883"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,gateway/flows/bridge-v2-readonly-disabled.json,608,brokers.emon.host,"""broker"": ""192.168.1.15"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,gateway/flows/bridge-v2-readonly-disabled.json,1316,energy.battery.soc.legacy.source.topic,"""name"": ""[energy] TeslaPowerwall/SOE"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,gateway/flows/bridge-v2-readonly-disabled.json,1317,energy.battery.soc.legacy.source.topic,"""topic"": ""TeslaPowerwall/SOE"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,gateway/flows/bridge-v2-readonly-disabled.json,1339,energy.battery.soc.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""TeslaPowerwall/SOE\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/energy/battery\"";\n\nif (typeof msg.topic !== 'string') {\...",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,gateway/flows/bridge-v2-readonly-disabled.json,1502,energy.solar.power.legacy.source.topic,"""name"": ""[energy] TeslaPowerwall/solar_instant_power"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,gateway/flows/bridge-v2-readonly-disabled.json,1503,energy.solar.power.legacy.source.topic,"""topic"": ""TeslaPowerwall/solar_instant_power"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,gateway/flows/bridge-v2-readonly-disabled.json,1525,energy.solar.power.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""TeslaPowerwall/solar_instant_power\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/energy/production\"";\n\nif (typeof msg.top...",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/focolare/powerraw,gateway/flows/bridge-v2-readonly-disabled.json,1874,fireplace.main.level.legacy.confirmation.topic,"""name"": ""[fireplace] emon/focolare/powerraw"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/focolare/powerraw,gateway/flows/bridge-v2-readonly-disabled.json,1875,fireplace.main.level.legacy.confirmation.topic,"""topic"": ""emon/focolare/powerraw"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/focolare/powerraw,gateway/flows/bridge-v2-readonly-disabled.json,1897,fireplace.main.level.legacy.confirmation.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""emon/focolare/powerraw\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/casa/stufa/stat/potenza\"";\n\nif (typeof msg.topic !==...",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/livinglamp,gateway/flows/bridge-v2-readonly-disabled.json,2494,lights.living.power.legacy.source.topic,"""name"": ""[lights] zara/domotics/lights/livinglamp"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/livinglamp,gateway/flows/bridge-v2-readonly-disabled.json,2495,lights.living.power.legacy.source.topic,"""topic"": ""zara/domotics/lights/livinglamp"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/livinglamp,gateway/flows/bridge-v2-readonly-disabled.json,2517,lights.living.power.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""zara/domotics/lights/livinglamp\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/light/sala/state\"";\n\nif (typeof msg.topic !...",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolpump,gateway/flows/bridge-v2-readonly-disabled.json,2680,pool.pump.power.legacy.source.topic,"""name"": ""[lights] zara/domotics/lights/poolpump"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolpump,gateway/flows/bridge-v2-readonly-disabled.json,2681,pool.pump.power.legacy.source.topic,"""topic"": ""zara/domotics/lights/poolpump"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolpump,gateway/flows/bridge-v2-readonly-disabled.json,2703,pool.pump.power.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""zara/domotics/lights/poolpump\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/light/pompaPiscina/state\"";\n\nif (typeof msg.t...",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolskimmer,gateway/flows/bridge-v2-readonly-disabled.json,2742,pool.skimmer.power.legacy.source.topic,"""name"": ""[lights] zara/domotics/lights/poolskimmer"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolskimmer,gateway/flows/bridge-v2-readonly-disabled.json,2743,pool.skimmer.power.legacy.source.topic,"""topic"": ""zara/domotics/lights/poolskimmer"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolskimmer,gateway/flows/bridge-v2-readonly-disabled.json,2765,pool.skimmer.power.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""zara/domotics/lights/poolskimmer\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/light/skimmerPiscina/state\"";\n\nif (typeof ...",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/time_range,gateway/flows/bridge-v2-readonly-disabled.json,3424,settings.climate.ai_grace_range.legacy.source.topic,"""name"": ""[system] zara/domotics/time_range"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/time_range,gateway/flows/bridge-v2-readonly-disabled.json,3425,settings.climate.ai_grace_range.legacy.source.topic,"""topic"": ""zara/domotics/time_range"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/time_range,gateway/flows/bridge-v2-readonly-disabled.json,3447,settings.climate.ai_grace_range.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""zara/domotics/time_range\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/system/time_range/state\"";\n\nif (typeof msg.topic !...",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/resolDL2/sensor3,gateway/flows/bridge-v2-readonly-disabled.json,4106,heating.puffer.top_temperature.legacy.source.topic,"""name"": ""[unclassified] emon/resolDL2/sensor3"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/resolDL2/sensor3,gateway/flows/bridge-v2-readonly-disabled.json,4107,heating.puffer.top_temperature.legacy.source.topic,"""topic"": ""emon/resolDL2/sensor3"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/resolDL2/sensor3,gateway/flows/bridge-v2-readonly-disabled.json,4129,heating.puffer.top_temperature.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""emon/resolDL2/sensor3\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/pufferAltoTemp\"";\n\nif (typeof msg.topic !== 'string')...",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/shellyACS/tempACS,gateway/flows/bridge-v2-readonly-disabled.json,4168,heating.dhw_puffer.temperature.legacy.source.topic,"""name"": ""[unclassified] emon/shellyACS/tempACS"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/shellyACS/tempACS,gateway/flows/bridge-v2-readonly-disabled.json,4169,heating.dhw_puffer.temperature.legacy.source.topic,"""topic"": ""emon/shellyACS/tempACS"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/shellyACS/tempACS,gateway/flows/bridge-v2-readonly-disabled.json,4191,heating.dhw_puffer.temperature.legacy.source.topic,"""func"": ""const CANARY_BASE = \""zara/android/domotica/v2\"";\nconst SOURCE_TOPIC = \""emon/shellyACS/tempACS\"";\nconst DESTINATION_TOPIC = \""zara/android/domotica/v2/acsPufferTemp\"";\n\nif (typeof msg.topic !== 'string')...",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/upgrade_gateway_climate_shadow_v012.py,200,brokers.home.host,"== ""192.168.1.20""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/upgrade_gateway_climate_shadow_v012.py,237,brokers.home.host,"""192.168.1.20 non trovato."",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_primary_stable_v014.py,161,brokers.home.host,"== ""192.168.1.20""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_primary_stable_v014.py,226,brokers.home.host,"""192.168.1.20.""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_primary_v013.py,170,brokers.home.host,"== ""192.168.1.20""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_primary_v013.py,224,brokers.home.host,"""192.168.1.20.""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_shadow_v012.py,65,brokers.home.host,"if broker.get(""broker"") != ""192.168.1.20"":",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_shadow_v012.py,123,brokers.home.host,"== ""192.168.1.20""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_shadow_v012.py,140,brokers.home.host,"""192.168.1.20""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_climate_shadow_v012.py,157,brokers.home.host,"""Nessun MQTT output verso 192.168.1.20.""",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,gateway/scripts/verify_read_only.py,13,brokers.emon.host,"if host in {""192.168.1.20"", ""192.168.1.15""}:",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,gateway/scripts/verify_read_only.py,13,brokers.home.host,"if host in {""192.168.1.20"", ""192.168.1.15""}:",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/cmnd/target_humidex,nodered/Analysis/AI-climate/functions/2796fd499f6b3ae2_Recupero_Variabili_File_System_per_UI.js,18,settings.climate.target_humidex.legacy.source.topic,"if (!isNaN(target_h)) msgs.push({ payload: target_h, topic: ""casa/clima/cmnd/target_humidex"" });",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/cmnd/vmc_max_notte,nodered/Analysis/AI-climate/functions/2796fd499f6b3ae2_Recupero_Variabili_File_System_per_UI.js,19,settings.climate.vmc_max_night.legacy.source.topic,"if (!isNaN(vmc_notte)) msgs.push({ payload: vmc_notte, topic: ""casa/clima/cmnd/vmc_max_notte"" });",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,nodered/Analysis/AI-climate/functions/5eef15f00d7a6c51_Registrazione_consumi_ML.js,16,energy.solar.power.legacy.source.topic,"} else if (msg.topic === ""TeslaPowerwall/solar_instant_power"") {",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,nodered/Analysis/AI-climate/functions/61992c8879c11f66_Machine_Learning_domotico_locale_ad_alta_precisione.js,7,energy.solar.power.legacy.source.topic,"else if (msg.topic === ""TeslaPowerwall/solar_instant_power"") {",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,nodered/Analysis/AI-climate/functions/61992c8879c11f66_Machine_Learning_domotico_locale_ad_alta_precisione.js,13,energy.battery.soc.legacy.source.topic,"else if (msg.topic === ""TeslaPowerwall/SOE"") {",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,nodered/Analysis/AI-climate/functions/61992c8879c11f66_Machine_Learning_domotico_locale_ad_alta_precisione.js,626,climate.ac_master.mode.legacy.confirmation.topic,"let msgAndroid = { payload: datiAndroid, topic: `${baseTopic}/casa/clima/stato_completo` };",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,nodered/Analysis/AI-climate/functions/61992c8879c11f66_Machine_Learning_domotico_locale_ad_alta_precisione.js,627,climate.ac_master.mode.legacy.confirmation.topic,"//let msgAndroid = { payload: datiAndroid, topic: ""casa/clima/stato_completo"" };",,
HIGH,Gateway / Node-RED,mqtt_topic,/esp8266/brink/fanspeed,nodered/Analysis/AI-climate/functions/61992c8879c11f66_Machine_Learning_domotico_locale_ad_alta_precisione.js,640,climate.vmc.speed.legacy.source.topic,"topic: ""/esp8266/brink/fanspeed"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,nodered/Analysis/AI-climate/functions/96e723769e300aec_Machine_Learning_domotico_locale_ad_alta_precisione.js,7,energy.solar.power.legacy.source.topic,"else if (msg.topic === ""TeslaPowerwall/solar_instant_power"") {",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,nodered/Analysis/AI-climate/functions/96e723769e300aec_Machine_Learning_domotico_locale_ad_alta_precisione.js,13,energy.battery.soc.legacy.source.topic,"else if (msg.topic === ""TeslaPowerwall/SOE"") {",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,nodered/Analysis/AI-climate/functions/96e723769e300aec_Machine_Learning_domotico_locale_ad_alta_precisione.js,612,climate.ac_master.mode.legacy.confirmation.topic,"let msgAndroid = { payload: datiAndroid, topic: `${baseTopic}/casa/clima/stato_completo` };",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,nodered/Analysis/AI-climate/functions/96e723769e300aec_Machine_Learning_domotico_locale_ad_alta_precisione.js,613,climate.ac_master.mode.legacy.confirmation.topic,"//let msgAndroid = { payload: datiAndroid, topic: ""casa/clima/stato_completo"" };",,
HIGH,Gateway / Node-RED,mqtt_topic,/esp8266/brink/fanspeed,nodered/Analysis/AI-climate/functions/96e723769e300aec_Machine_Learning_domotico_locale_ad_alta_precisione.js,626,climate.vmc.speed.legacy.source.topic,"topic: ""/esp8266/brink/fanspeed"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,nodered/Analysis/AI-climate/functions/bd8f422a0d46006f_Machine_Learning_domotico_locale_ad_alta_precisione.js,7,energy.solar.power.legacy.source.topic,"else if (msg.topic === ""TeslaPowerwall/solar_instant_power"") {",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,nodered/Analysis/AI-climate/functions/bd8f422a0d46006f_Machine_Learning_domotico_locale_ad_alta_precisione.js,13,energy.battery.soc.legacy.source.topic,"else if (msg.topic === ""TeslaPowerwall/SOE"") {",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,nodered/Analysis/AI-climate/functions/bd8f422a0d46006f_Machine_Learning_domotico_locale_ad_alta_precisione.js,612,climate.ac_master.mode.legacy.confirmation.topic,"let msgAndroid = { payload: datiAndroid, topic: `${baseTopic}/casa/clima/stato_completo` };",,
