node_id,widget_type,label,title,name,ui_tab,ui_group,order,width,height,topic,min,max,step,format,disabled
f08605cca57e4ea0,ui_switch,Solar Divert Mode,,,Impianti Termici,Pompa Calore,1,0,0,,,,,,False
7f4c5ab7d06972f4,ui_chart,,,,Impianti Termici,Immissione in Rete,3,0,0,,,,,,False
f4f2bfdda005961c,ui_switch,Lampada HiFi,,,Illuminazione,Illuminazione,5,0,0,cmnd/tasmota_86AD14/POWER,,,,,False
fe9e45776117b3ef,ui_switch,Controllo Automatico Potenza,,,Impianti Termici,Termo Focolare,10,0,0,topic,,,,,False
4779910914cbd26b,ui_toast,,,,,,,,,,,,,,False
bce4805d1ff68a2e,ui_switch,Acceso,,,Termostati,Bagno Servizio,1,0,0,topic,,,,,True
9aed7fe92d283193,ui_gauge,°C,,,Termostati,Bagno Servizio,2,0,0,,16.0,22.0,,{{value}},False
3e61d0cfe952044f,ui_slider,,,,Termostati,Bagno Servizio,3,0,0,topic,10,22,0.5,,False
7c2c8d08421e6e75,ui_switch,,,,Termostati,Bagno Servizio,4,6,2,topic,,,,,False
814e40e68d1cc9c9,ui_text_input,Min temp,,,Termostati,Bagno Servizio,8,0,0,topic,,,,,True
0e211eaa88c0bfce,ui_text_input,Max temp,,,Termostati,Bagno Servizio,9,0,0,topic,,,,,True
bd10bc4fddbbdf95,ui_button,Tasmota Settings,,,Termostati,Bagno Servizio,6,4,1,,,,,,False
b7a9ec63ac2f5757,ui_slider,Min temp,,,Termostati,Bagno Servizio,9,0,0,topic,16,22,0.5,,False
a409927c4e7d7dd2,ui_slider,Max temp,,,Termostati,Bagno Servizio,9,0,0,topic,16,22,0.5,,False
edd359e59e9359f9,ui_slider,Min temp,,,Termostati,Living,9,0,0,topic,16,22,0.5,,False
eeb42973ece4688b,ui_slider,Max temp,,,Termostati,Living,9,0,0,topic,16,22,0.5,,False
b97bc1c0.cb899,ui_template,,,Clock Toolbar,Zooland Sys,hidden_group,2,0,0,,,,,"<script id=""titleScript"" type=""text/javascript"">

$(function() {
    if($('.md-toolbar-tools').length != 0){
        loadClock();
    }else setTimeout(loadClock, 500)
});

function loadClock(){
    $('#clock').remove();
    var toolbar = $('.md-toolbar-tools');
    
    var div = $('<div/>');
    var p = $('<p/ id=""clock"">');
    
    div.append(p);
    div[0].style.margin = '5px 5px 5px auto';
    toolbar.append(div);

    function displayTitle(lh) {
        p.text(lh); 
    }
    
    function upTime() {
        var d = new Date();
        const options = {
            dateStyle: ""full"",
            timeStyle: ""medium"",
        };
        p.text(d.toLocaleString(""it-IT"", options));
    }

    if(document.clockInterval){ 
            clearInterval(document.clockInterval);
            document.clockInterval = null;
    }
        
    document.clockInterval = setInterval(upTime,1000);
}

</script>",False
e5245e96c84ff633,ui_switch,Sensore Portico,,,Settaggi,Automatismi,0,0,0,,,,,,True
